2.6V,,,3V,,,4V,,,5V,,,,,,
,,,,,,,,,,,,,,,
313.55,1.99,,313.62,3.02,,313.63,5.12,,313.62,5.12,,,,,
318.55,2.02,,318.63,3.06,,318.64,5.12,,318.63,5.12,,,,,
323.56,2.03,,323.64,3.12,,323.64,5.12,,323.64,5.12,,,,,
328.57,2.05,,328.64,3.17,,328.65,5.12,,328.65,5.12,,,,,
333.58,2.06,,333.65,3.22,,333.66,5.12,,333.66,5.12,,,,,
338.59,2.06,,338.66,3.27,,338.67,5.12,,338.66,5.12,,,,,
343.59,2.06,,343.67,3.32,,343.68,5.12,,343.67,5.12,,,,,
348.6,2.32,,348.68,3.35,,348.68,5.12,,348.68,5.12,,,,,
353.61,2.1,,353.68,3.37,,353.69,5.12,,353.69,5.12,,,,,
358.61,2.1,,358.69,3.38,,358.7,5.12,,358.7,5.12,,,,,
363.62,2.13,,363.7,3.4,,363.7,5.12,,363.7,5.12,,,,,
368.63,2.13,,368.71,3.42,,368.71,5.12,,368.71,5.12,,,,,
373.64,2.22,,373.71,3.43,,373.72,5.12,,373.72,5.12,,,,,
378.64,2.17,,378.72,3.44,,378.73,5.12,,378.73,5.12,,,,,
383.65,2.17,,383.73,3.46,,383.74,5.12,,383.74,5.12,,,,,
388.66,2.19,,388.74,3.47,,388.74,5.12,,388.74,5.12,,,,,
393.67,2.21,,393.74,3.48,,393.75,5.12,,393.75,5.12,,,,,
398.68,2.45,,398.75,3.49,,398.76,5.12,,398.76,5.12,,,,,
403.68,2.25,,403.76,3.51,,403.77,5.12,,403.77,5.12,,,,,
408.69,2.27,,408.77,3.53,,408.77,5.12,,408.77,5.12,,,,,
413.7,2.29,,413.78,3.57,,413.78,5.12,,413.78,5.12,,,,,
418.7,2.31,,418.79,3.62,,418.79,5.12,,418.79,5.12,,,,,
423.71,2.33,,423.8,3.68,,423.8,5.12,,423.8,5.12,,,,,
428.72,2.35,,428.8,3.75,,428.81,5.12,,428.81,5.12,,,,,
433.73,2.36,,433.81,3.84,,433.82,5.12,,433.81,5.12,,,,,
438.74,2.37,,438.82,3.98,,438.82,5.12,,438.82,5.12,,,,,
443.74,2.38,,443.83,4.15,,443.83,5.12,,443.83,5.12,,,,,
448.75,2.4,,448.84,4.45,,448.84,5.12,,448.84,5.12,,,,,
453.76,2.41,,453.84,4.82,,453.85,5.12,,453.85,5.12,,,,,
458.76,2.42,,458.85,5.12,,458.85,5.12,,458.85,5.12,,,,,
463.77,2.44,,463.86,5.12,,463.86,5.12,,463.86,5.12,,,,,
468.78,2.46,,468.87,5.12,,468.87,5.12,,468.87,5.12,,,,,
473.79,2.5,,473.87,5.12,,473.88,5.12,,473.88,5.12,,,,,
478.8,2.16,,478.88,5.12,,478.88,5.12,,478.89,5.12,,,,,
483.81,2.52,,483.89,5.12,,483.89,5.12,,483.89,5.12,,,,,
488.81,2.56,,488.9,5.12,,488.9,5.12,,488.9,5.12,,,,,
493.82,2.57,,493.9,5.12,,493.91,5.12,,493.91,5.12,,,,,
498.83,2.6,,498.91,5.12,,498.91,5.12,,498.91,5.12,,,,,
503.84,2.53,,503.92,5.12,,503.92,5.12,,503.92,5.12,,,,,
508.84,2.65,,508.93,5.12,,508.93,5.12,,508.93,5.12,,,,,
513.85,2.68,,513.93,5.12,,513.94,5.12,,513.94,5.12,,,,,
518.86,2.68,,518.94,5.12,,518.95,5.12,,518.95,5.12,,,,,
523.87,2.69,,523.95,5.12,,523.95,5.12,,523.95,5.12,,,,,
528.87,2.72,,528.96,5.12,,528.96,5.12,,528.96,5.12,,,,,
533.88,2.74,,533.96,5.12,,533.97,5.12,,533.97,5.12,,,,,
538.89,2.76,,538.97,5.12,,538.98,5.12,,538.97,5.12,,,,,
543.9,2.76,,543.98,5.12,,543.98,5.12,,543.98,5.12,,,,,
548.9,2.79,,548.99,5.12,,549,5.12,,549,5.12,,,,,
553.91,2.81,,554,5.12,,554.01,5.12,,554.01,5.12,,,,,
558.92,2.83,,559.01,5.12,,559.01,5.12,,559.01,5.12,,,,,
563.93,2.84,,564.02,5.12,,564.02,5.12,,564.02,5.12,,,,,
568.93,2.87,,569.03,5.12,,569.03,5.12,,569.03,5.12,,,,,
573.94,2.89,,574.03,5.12,,574.04,5.12,,574.04,5.12,,,,,
578.95,2.92,,579.04,5.12,,579.05,5.12,,579.05,5.12,,,,,
583.96,3.02,,584.05,5.12,,584.05,5.12,,584.05,5.12,,,,,
588.96,2.97,,589.06,5.12,,589.06,5.12,,589.06,5.12,,,,,
593.97,2.99,,594.06,5.12,,594.07,5.12,,594.07,5.12,,,,,
598.98,3.01,,599.07,5.12,,599.08,5.12,,599.08,5.12,,,,,
603.99,3.02,,604.08,5.12,,604.08,5.12,,604.09,5.12,,,,,
609,3.15,,609.09,5.12,,609.09,5.12,,609.09,5.12,,,,,
614.01,3.07,,614.09,5.12,,614.1,5.12,,614.1,5.12,,,,,
